rank,tier,name,team,position,byeWeek,strengthOfSchedule,drop,pointsAboveProjection,gamesAboveProjection
319,13,Jacoby Brissett,CLE,QB35,9, 5.4,-25,-0.7,25% (4/16)
320,13,Quintez Cephus,DET,WR108,6, 3.6,+26,+2.0,60% (3/5)
321,13,Giovani Bernard,TB,RB88,11, 2.2,+49,+0.4,25% (3/12)
323,13,Devin Duvernay,BAL,WR109,10, 5.0,-20,+0.4,37% (6/16)
324,13,Duke Johnson Jr.,BUF,RB90,7, 6.0,+3,+1.9,33% (2/6)
325,13,Tyler Conklin,NYJ,TE37,10, 4.6,-7,+0.3,56% (9/16)
326,13,Geno Smith,SEA,QB36,11, 3.8,-26,0.0,13% (2/15)
328,13,Nick Westbrook-Ikhine,TEN,WR110,6, 3.6,-17,0.0,43% (7/16)
329,13,Daniel Bellinger,NYG,TE38,9, 7.2,-47,-,-
330,13,Harrison Bryant,CLE,TE39,9, 7.8,-,+0.7,60% (9/15)
332,13,Chase McLaughlin,FA,K27,-,-,-,-1.2,33% (5/15)
333,13,Tevin Coleman,NYJ,RB93,10, 6.8,+50,-0.4,60% (6/10)
335,13,Cole Beasley,FA,WR111,-,-,-15,-2.2,33% (5/15)
336,13,Sam Darnold,CAR,QB37,13, 3.2,+13,-1.3,45% (5/11)
337,13,Tommy Tremble,CAR,TE40,13, 3.4,+35,-0.3,35% (6/17)
338,13,Josh Lambo,FA,K28,-,-,-,-6.4,0% (0/6)
340,13,Jared Cook,FA,TE41,-,-,+36,-0.5,40% (6/15)
342,13,Donald Parham Jr.,LAC,TE42,8, 5.4,+15,+0.4,35% (5/14)
344,13,Ricky Seals-Jones,NYG,TE43,9, 7.4,-,-0.9,30% (4/13)
345,13,Anthony Firkser,ATL,TE44,14, 2.0,-,-1.4,20% (3/15)
346,13,Desmond Ridder,ATL,QB38,14, 4.8,-66,-,-
347,13,Jalen Guyton,LAC,WR113,8, 5.2,-28,+0.3,31% (5/16)
348,13,Dontrell Hilliard,TEN,RB97,6, 6.4,-75,0.0,36% (4/11)
349,13,David Johnson,FA,RB98,-,-,-21,-1.7,30% (4/13)
350,13,Las Vegas Raiders,LV,DST29,6,-,-64,-2.5,23% (4/17)
351,13,Jelani Woods,IND,TE45,14, 3.0,-42,-,-
353,14,T.Y. Hilton,FA,WR114,-,-,-16,-0.5,44% (4/9)
356,14,Cade York,CLE,K29,9,-,-85,-,-
357,14,Detroit Lions,DET,DST30,6,-,-52,-2.2,43% (7/16)
358,14,Devontae Booker,FA,RB100,-,-,-61,+1.5,56% (9/16)
359,14,Amari Rodgers,GB,WR116,14, 4.4,-89,-1.1,12% (2/16)
360,14,James Proche II,BAL,WR117,10, 4.6,-,+0.5,23% (3/13)
361,14,Foster Moreau,LV,TE47,6, 2.8,-,-0.1,35% (6/17)
362,14,James Washington,DAL,WR118,9, 4.6,-33,-0.8,33% (5/15)
366,14,Ameer Abdullah,LV,RB103,6, 3.0,-58,+0.3,41% (7/17)
367,14,Olamide Zaccheaus,ATL,WR120,14, 6.2,-16,-1.2,31% (5/16)
371,14,Atlanta Falcons,ATL,DST31,14,-,-86,-1.7,37% (6/16)
372,14,Devonta Freeman,FA,RB104,0,-,-16,+0.6,41% (7/17)
377,14,Laquon Treadwell,JAC,WR125,11, 7.4,-,+1.2,53% (7/13)
378,14,Taysom Hill,NO,QB39,14, 5.6,-166,+0.8,38% (5/13)
380,14,Benny Snell Jr.,PIT,RB107,9, 5.6,-30,-0.9,25% (4/16)
385,14,Malik Willis,TEN,QB40,6, 6.4,-102,-,-
